,age,job,marital,education,default,balance,housing,loan,day,month,duration,campaign,pdays,previous,poutcome,response,response_binary
162,47,services,single,secondary,no,176,yes,no,5,may,5.05,2,-1,0,unknown,no,0
163,40,blue-collar,married,secondary,no,1225,yes,no,5,may,9.3,5,-1,0,unknown,no,0
164,45,technician,married,secondary,no,86,yes,no,5,may,4.5,1,-1,0,unknown,no,0
165,26,admin.,single,secondary,no,82,yes,no,5,may,3.8,1,-1,0,unknown,no,0
166,52,management,married,tertiary,no,271,yes,no,5,may,1.65,1,-1,0,unknown,no,0
167,54,technician,married,secondary,no,1378,yes,no,5,may,4.0,1,-1,0,unknown,no,0
168,54,admin.,married,tertiary,no,184,no,no,5,may,11.22,2,-1,0,unknown,yes,1
169,50,blue-collar,married,primary,no,0,no,no,5,may,3.88,3,-1,0,unknown,no,0
170,35,blue-collar,married,secondary,no,0,yes,no,5,may,17.6,1,-1,0,unknown,no,0
171,44,services,married,secondary,no,1357,yes,yes,5,may,4.17,1,-1,0,unknown,no,0
173,35,retired,single,primary,no,434,no,no,5,may,2.3,1,-1,0,unknown,no,0
174,60,admin.,divorced,secondary,no,92,yes,no,5,may,2.17,1,-1,0,unknown,no,0
175,53,admin.,divorced,secondary,no,1151,yes,no,5,may,6.87,1,-1,0,unknown,no,0
176,48,unemployed,married,secondary,no,41,yes,no,5,may,2.98,2,-1,0,unknown,no,0
177,34,technician,married,secondary,no,51,yes,no,5,may,0.32,2,-1,0,unknown,no,0
178,54,services,married,secondary,no,214,yes,no,5,may,7.63,2,-1,0,unknown,no,0
179,51,management,married,secondary,no,1161,yes,no,5,may,11.95,1,-1,0,unknown,no,0
180,31,services,married,tertiary,no,37,yes,no,5,may,5.22,1,-1,0,unknown,no,0
181,35,technician,divorced,secondary,no,787,yes,no,5,may,11.38,2,-1,0,unknown,no,0
182,35,services,married,secondary,no,59,yes,no,5,may,17.95,1,-1,0,unknown,no,0
183,38,technician,married,secondary,no,253,yes,no,5,may,6.93,1,-1,0,unknown,no,0
184,36,admin.,married,tertiary,no,211,yes,no,5,may,2.43,2,-1,0,unknown,no,0
185,58,retired,married,primary,no,235,yes,no,5,may,2.78,1,-1,0,unknown,no,0
187,54,management,married,secondary,no,4080,no,no,5,may,2.33,1,-1,0,unknown,no,0
188,34,blue-collar,single,secondary,no,53,yes,yes,5,may,5.77,1,-1,0,unknown,no,0
189,31,management,single,tertiary,no,0,yes,no,5,may,9.37,1,-1,0,unknown,no,0
190,51,retired,married,secondary,no,2127,yes,no,5,may,2.87,1,-1,0,unknown,no,0
191,33,management,married,tertiary,no,377,yes,no,5,may,3.62,1,-1,0,unknown,no,0
192,55,management,married,tertiary,no,73,yes,no,5,may,2.37,2,-1,0,unknown,no,0
193,42,admin.,married,secondary,no,445,yes,no,5,may,1.12,1,-1,0,unknown,no,0
194,34,blue-collar,married,secondary,no,243,yes,no,5,may,4.85,1,-1,0,unknown,no,0
195,33,blue-collar,single,secondary,no,307,yes,no,5,may,5.15,2,-1,0,unknown,no,0
196,38,services,married,secondary,no,155,yes,no,5,may,4.13,1,-1,0,unknown,no,0
197,50,technician,divorced,tertiary,no,173,no,yes,5,may,1.63,1,-1,0,unknown,no,0
198,43,management,married,tertiary,no,400,yes,no,5,may,4.27,1,-1,0,unknown,no,0
199,61,blue-collar,divorced,primary,no,1428,yes,no,5,may,1.37,2,-1,0,unknown,no,0
200,47,admin.,married,secondary,no,219,yes,no,5,may,9.62,1,-1,0,unknown,no,0
201,48,self-employed,married,tertiary,no,7,yes,no,5,may,4.77,1,-1,0,unknown,no,0
202,44,blue-collar,married,secondary,no,575,yes,no,5,may,7.95,1,-1,0,unknown,no,0
204,35,services,married,secondary,no,0,yes,no,5,may,7.85,1,-1,0,unknown,no,0
205,50,services,married,secondary,no,5699,yes,no,5,may,6.35,2,-1,0,unknown,no,0
206,41,management,married,tertiary,no,176,yes,yes,5,may,0.7,1,-1,0,unknown,no,0
207,41,management,married,tertiary,no,517,yes,no,5,may,4.18,1,-1,0,unknown,no,0
209,42,retired,married,secondary,no,56,yes,no,5,may,3.58,1,-1,0,unknown,no,0
210,38,blue-collar,married,secondary,no,-390,yes,no,5,may,4.78,1,-1,0,unknown,no,0
211,53,retired,married,secondary,no,330,yes,no,5,may,3.6,2,-1,0,unknown,no,0
212,59,housemaid,divorced,primary,no,195,no,no,5,may,6.1,2,-1,0,unknown,no,0
213,36,services,married,secondary,no,301,yes,no,5,may,3.5,1,-1,0,unknown,no,0
214,54,blue-collar,married,primary,no,-41,yes,no,5,may,4.8,1,-1,0,unknown,no,0
215,40,technician,married,tertiary,no,483,yes,no,5,may,2.8,1,-1,0,unknown,no,0
218,46,housemaid,married,primary,no,965,no,no,5,may,2.95,1,-1,0,unknown,no,0
219,39,management,married,tertiary,no,378,yes,yes,5,may,2.12,2,-1,0,unknown,no,0
220,40,unemployed,married,secondary,no,219,yes,no,5,may,5.95,1,-1,0,unknown,no,0
221,28,blue-collar,married,primary,no,324,yes,no,5,may,2.92,1,-1,0,unknown,no,0
222,35,entrepreneur,divorced,secondary,no,-69,yes,no,5,may,5.0,1,-1,0,unknown,no,0
223,55,retired,married,secondary,no,0,no,yes,5,may,2.27,1,-1,0,unknown,no,0
225,48,blue-collar,married,primary,no,278,yes,no,5,may,2.08,2,-1,0,unknown,no,0
227,33,management,single,tertiary,no,34,yes,no,5,may,0.45,1,-1,0,unknown,no,0
229,53,services,divorced,secondary,no,1467,yes,no,5,may,2.07,1,-1,0,unknown,no,0
230,47,blue-collar,married,primary,no,-12,yes,no,5,may,0.3,1,-1,0,unknown,no,0
231,31,services,married,secondary,no,388,yes,no,5,may,12.17,2,-1,0,unknown,no,0
232,57,entrepreneur,married,secondary,no,294,yes,no,5,may,12.43,2,-1,0,unknown,no,0
234,55,blue-collar,married,primary,no,627,yes,no,5,may,4.12,1,-1,0,unknown,no,0
235,45,blue-collar,married,primary,no,25,yes,no,5,may,0.67,1,-1,0,unknown,no,0
236,53,admin.,divorced,secondary,no,315,yes,no,5,may,3.02,2,-1,0,unknown,no,0
237,37,blue-collar,married,primary,no,0,yes,no,5,may,1.32,1,-1,0,unknown,no,0
238,44,admin.,divorced,secondary,no,66,yes,no,5,may,3.43,1,-1,0,unknown,no,0
239,49,blue-collar,divorced,primary,no,-9,yes,yes,5,may,6.48,1,-1,0,unknown,no,0
240,46,technician,married,secondary,no,349,yes,yes,5,may,2.12,1,-1,0,unknown,no,0
242,38,admin.,married,secondary,no,0,no,no,5,may,2.52,1,-1,0,unknown,no,0
243,43,technician,married,secondary,no,434,yes,no,5,may,1.95,1,-1,0,unknown,no,0
244,49,management,married,tertiary,no,3237,yes,no,5,may,3.87,3,-1,0,unknown,no,0
246,22,blue-collar,single,secondary,no,0,yes,no,5,may,2.98,2,-1,0,unknown,no,0
247,40,management,married,tertiary,no,207,yes,no,5,may,0.65,1,-1,0,unknown,no,0
248,39,blue-collar,married,secondary,no,483,yes,no,5,may,4.7,1,-1,0,unknown,no,0
249,51,services,married,secondary,no,2248,yes,no,5,may,11.9,2,-1,0,unknown,no,0
250,49,admin.,married,secondary,no,428,yes,no,5,may,0.83,1,-1,0,unknown,no,0
251,53,blue-collar,married,secondary,no,0,yes,yes,5,may,3.02,1,-1,0,unknown,no,0
252,34,services,single,secondary,no,0,yes,no,5,may,2.37,1,-1,0,unknown,no,0
253,33,technician,divorced,secondary,no,140,yes,no,5,may,3.78,1,-1,0,unknown,no,0
254,50,management,single,tertiary,no,297,yes,no,5,may,1.98,1,-1,0,unknown,no,0
255,39,blue-collar,married,primary,no,279,yes,no,5,may,6.02,1,-1,0,unknown,no,0
256,59,entrepreneur,divorced,secondary,no,901,yes,no,5,may,1.22,3,-1,0,unknown,no,0
257,30,technician,single,secondary,no,2573,yes,no,5,may,1.12,2,-1,0,unknown,no,0
258,36,services,married,secondary,no,143,yes,yes,5,may,5.83,1,-1,0,unknown,no,0
259,40,blue-collar,married,secondary,no,475,yes,no,5,may,5.53,2,-1,0,unknown,no,0
260,53,blue-collar,married,secondary,no,70,yes,no,5,may,10.18,2,-1,0,unknown,no,0
261,34,management,single,tertiary,no,318,yes,no,5,may,1.88,2,-1,0,unknown,no,0
262,37,technician,married,secondary,no,275,yes,no,5,may,2.2,1,-1,0,unknown,no,0
263,42,management,divorced,tertiary,no,742,yes,no,5,may,0.97,3,-1,0,unknown,no,0
264,41,entrepreneur,married,primary,no,236,yes,no,5,may,2.52,1,-1,0,unknown,no,0
265,30,student,single,tertiary,no,25,yes,no,5,may,1.48,2,-1,0,unknown,no,0
266,37,management,single,tertiary,no,600,yes,no,5,may,2.53,1,-1,0,unknown,no,0
267,39,admin.,divorced,secondary,no,-349,yes,no,5,may,10.18,2,-1,0,unknown,no,0
268,41,blue-collar,married,primary,no,183,yes,yes,5,may,1.83,2,-1,0,unknown,no,0
269,40,blue-collar,married,primary,no,0,yes,no,5,may,7.72,1,-1,0,unknown,no,0
270,42,management,single,tertiary,no,0,yes,yes,5,may,9.37,2,-1,0,unknown,yes,1
271,40,blue-collar,divorced,primary,no,0,yes,no,5,may,16.03,1,-1,0,unknown,no,0
272,57,technician,married,secondary,no,1078,yes,no,5,may,0.17,4,-1,0,unknown,no,0
273,56,entrepreneur,divorced,secondary,no,155,no,no,5,may,1.97,3,-1,0,unknown,no,0
274,37,admin.,married,secondary,no,190,yes,no,5,may,1.53,2,-1,0,unknown,no,0
275,59,retired,married,secondary,no,319,yes,no,5,may,2.38,3,-1,0,unknown,no,0
276,39,services,divorced,secondary,no,-185,yes,no,5,may,3.15,3,-1,0,unknown,no,0
277,49,services,married,secondary,no,47,no,no,5,may,3.9,2,-1,0,unknown,no,0
278,38,services,single,secondary,no,570,yes,no,5,may,1.25,2,-1,0,unknown,no,0
279,36,self-employed,married,tertiary,no,19,no,no,5,may,3.15,2,-1,0,unknown,no,0
280,50,blue-collar,married,primary,no,61,yes,no,5,may,10.35,3,-1,0,unknown,no,0
281,41,admin.,married,secondary,no,-62,yes,yes,5,may,0.92,2,-1,0,unknown,no,0
282,54,technician,married,tertiary,no,258,no,no,5,may,5.17,4,-1,0,unknown,no,0
283,58,blue-collar,married,primary,no,76,yes,no,5,may,2.6,2,-1,0,unknown,no,0
285,33,admin.,single,secondary,no,352,yes,no,5,may,3.75,2,-1,0,unknown,no,0
286,47,admin.,married,secondary,no,368,yes,no,5,may,2.08,2,-1,0,unknown,no,0
288,32,blue-collar,married,secondary,no,1331,yes,no,5,may,4.77,2,-1,0,unknown,no,0
289,40,self-employed,married,secondary,no,672,yes,no,5,may,2.73,2,-1,0,unknown,no,0
290,37,management,married,tertiary,no,58,yes,no,5,may,1.63,2,-1,0,unknown,no,0
292,24,student,single,secondary,no,423,yes,no,5,may,3.77,3,-1,0,unknown,no,0
293,54,management,married,tertiary,no,0,no,no,5,may,2.0,2,-1,0,unknown,no,0
294,34,technician,married,secondary,no,19,yes,no,5,may,6.03,4,-1,0,unknown,no,0
295,56,technician,divorced,primary,no,13,yes,no,5,may,5.95,2,-1,0,unknown,no,0
296,31,blue-collar,single,secondary,no,3,yes,no,5,may,3.33,2,-1,0,unknown,no,0
297,24,student,single,secondary,no,82,yes,no,5,may,3.4,2,-1,0,unknown,no,0
298,42,blue-collar,divorced,primary,no,28,yes,no,5,may,2.1,3,-1,0,unknown,no,0
299,57,technician,married,secondary,no,792,yes,no,5,may,1.08,2,-1,0,unknown,no,0
301,51,admin.,married,secondary,no,531,yes,no,5,may,4.45,2,-1,0,unknown,no,0
302,57,retired,married,secondary,no,211,yes,no,5,may,4.13,2,-1,0,unknown,no,0
303,36,services,single,secondary,no,62,yes,no,5,may,3.58,2,-1,0,unknown,no,0
305,50,technician,married,secondary,no,1234,yes,no,5,may,3.42,2,-1,0,unknown,no,0
306,54,management,married,tertiary,no,313,yes,no,5,may,1.38,2,-1,0,unknown,no,0
307,55,blue-collar,married,secondary,no,89,yes,no,5,may,1.77,3,-1,0,unknown,no,0
308,44,blue-collar,married,secondary,no,129,yes,yes,5,may,3.15,2,-1,0,unknown,no,0
310,56,admin.,married,secondary,no,353,yes,no,5,may,1.77,2,-1,0,unknown,no,0
312,55,services,divorced,primary,no,96,yes,yes,5,may,5.18,2,-1,0,unknown,no,0
313,37,services,divorced,secondary,no,398,yes,yes,5,may,3.57,2,-1,0,unknown,no,0
314,33,admin.,single,tertiary,no,193,no,no,5,may,2.2,2,-1,0,unknown,no,0
315,46,admin.,married,secondary,no,-358,yes,no,5,may,5.97,2,-1,0,unknown,no,0
316,36,blue-collar,married,secondary,no,539,yes,yes,5,may,7.55,2,-1,0,unknown,no,0
317,51,technician,single,secondary,no,0,yes,no,5,may,6.07,2,-1,0,unknown,no,0
318,40,retired,single,primary,no,0,no,no,5,may,2.27,2,-1,0,unknown,no,0
319,42,blue-collar,married,secondary,no,490,yes,no,5,may,6.43,2,-1,0,unknown,no,0
320,51,blue-collar,married,secondary,no,0,yes,no,5,may,2.88,2,-1,0,unknown,no,0
322,48,management,married,secondary,no,161,yes,no,5,may,3.73,3,-1,0,unknown,no,0
323,32,technician,divorced,tertiary,no,2558,no,no,5,may,2.47,2,-1,0,unknown,no,0
324,31,admin.,single,secondary,no,98,yes,no,5,may,3.27,2,-1,0,unknown,no,0
325,55,management,single,tertiary,no,115,no,no,5,may,1.85,4,-1,0,unknown,no,0
326,40,blue-collar,single,secondary,no,436,yes,no,5,may,3.85,3,-1,0,unknown,no,0
327,47,technician,married,tertiary,no,831,yes,no,5,may,5.27,3,-1,0,unknown,no,0
329,41,blue-collar,married,secondary,no,290,yes,no,5,may,4.0,2,-1,0,unknown,no,0
330,48,blue-collar,married,secondary,no,1,no,no,5,may,11.15,3,-1,0,unknown,no,0
332,30,blue-collar,single,secondary,no,-457,yes,no,5,may,2.38,2,-1,0,unknown,no,0
333,58,management,single,tertiary,no,1387,yes,no,5,may,2.9,5,-1,0,unknown,no,0
335,49,blue-collar,married,secondary,no,30,yes,no,5,may,2.25,4,-1,0,unknown,no,0
336,42,admin.,single,secondary,no,1022,yes,no,5,may,2.43,2,-1,0,unknown,no,0
337,53,technician,married,secondary,no,56,yes,yes,5,may,2.53,2,-1,0,unknown,no,0
338,51,admin.,single,secondary,yes,-2,no,no,5,may,6.7,3,-1,0,unknown,no,0
339,32,services,single,secondary,no,121,yes,no,5,may,3.55,2,-1,0,unknown,no,0
340,41,blue-collar,single,secondary,no,842,yes,no,5,may,2.4,3,-1,0,unknown,no,0
